Sample ID,SiO2,Si_err,Al2O3,Al_err,MgO,Mg_err,Na2O,Na_err,F,F_err,CaO,Ca_err,Cl,Cl_err,SO3,S_err,P2O5,P_err,Cr2O3,Cr_err,MnO,Mn_err,FeO,Fe_err,K2O,K_err,TiO2,Ti_err,Total,Si(L-value),Al(L-value),Mg(L-value),Na(L-value),Na(L-value),F(L-value),Na(L-value),Ca(L-value),Cl(L-value),S(L-value),P(L-value),Cr(L-value),Mn(L-value),Fe(L-value),Current
HHPST_glass 10,57.6373,0.43,16.2098,0.57,3.5743,1.21,3.525,3.48,0.0374,236.32,7.0634,0.74,0.0483,26.82,0.0813,48.07,0.4189,8.16,0,NA,0.183,12.62,7.1433,1.14,1.8244,1.50,0.8643,2.38,98.6107,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10
HHPST_glass 11,56.9967,0.43,16.0462,0.58,3.5884,1.21,3.5018,3.49,0.0249,350.45,7.0316,0.74,0.0313,39.23,0.0541,70.23,0.414,8.22,0.032,78.82,0.1337,16.50,7.0547,1.15,1.7665,1.53,0.869,2.37,97.5449,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10.01
HHPST_glass 12,58.4759,0.42,16.2494,0.57,3.6323,1.20,3.4737,3.51,0.0624,145.18,7.1709,0.74,0.0197,59.89,0.1807,23.70,0.4229,8.10,0.0016,1515.69,0.151,14.85,7.1131,1.15,1.8084,1.51,0.8696,2.37,99.6316,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10.01
HHPST_glass 13,58.9364,0.42,15.9793,0.58,3.4181,1.24,3.5511,3.47,0,NA,7.01,0.75,0.0331,37.32,0.0654,58.79,0.4543,7.71,0,NA,0.1626,13.94,6.8587,1.17,1.7981,1.51,0.8551,2.40,99.1222,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10.01
HHPST_glass 14,58.1677,0.43,16.2925,0.57,3.6249,1.20,3.5324,3.48,0.1121,84.58,7.178,0.74,0.0266,45.44,0.0988,40.25,0.3128,10.04,0,NA,0.1597,14.16,7.1061,1.15,1.7629,1.53,0.8896,2.34,99.2641,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10.01
HHPST_glass 15,57.7616,0.43,16.0853,0.57,3.4907,1.22,3.4899,3.50,0,NA,7.1983,0.74,0.0197,59.89,0.0837,46.81,0.3814,8.71,0.0256,97.74,0.1666,13.66,7.1363,1.15,1.7471,1.54,0.9092,2.30,98.4954,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10
HHPST_glass 16,58.2959,0.42,16.1382,0.57,3.6042,1.20,3.5681,3.46,0.0998,93.98,7.0771,0.74,0.0398,31.71,0.0502,75.37,0.4236,8.09,0,NA,0.1551,14.51,7.0977,1.15,1.7794,1.52,0.8537,2.40,99.1828,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10
HHPST_glass 17,57.1757,0.43,15.9684,0.58,3.4179,1.24,3.4199,3.54,0,NA,6.8561,0.75,0.027,44.83,0.0189,193.31,0.3553,9.16,0,NA,0.1647,13.79,7.0176,1.16,1.8953,1.47,0.8479,2.41,97.1647,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99
HHPST_glass 18,56.8958,0.43,15.9928,0.58,3.3988,1.24,3.3014,3.60,0.0626,144.74,6.9963,0.75,0.0297,41.13,0.0446,84.32,0.4632,7.61,0.0545,47.56,0.1204,18.09,6.8274,1.17,1.838,1.50,0.8827,2.35,96.9082,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10
HHPST_glass 19,56.1399,0.43,15.8711,0.58,3.481,1.23,3.3647,3.57,0,NA,7.2104,0.73,0.0411,30.83,0.0649,59.21,0.3789,8.75,0,NA,0.1579,14.29,7.0906,1.15,1.7096,1.55,0.8182,2.47,96.3283,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10
