Sample_name,line_no,Na-23,Mg-24,Al-27,K-39,Ca-43,Ca-44,Ti-47,Cr-52,Mn-55,Fe-57,Ni-60,Cu-63,Zn-66,Rb-85,Sr-88,Y-89,Zr-90,Nb-93,Ba-138,La-139,Ce-140,Pr-141,Nd-146,Sm-147,Eu-153,Gd-157,Tb-159,Dy-163,Ho-165,Er-166,Tm-169,Yb-172,Lu-175,Hf-178,Ta-181,Pb-208,Th-232,U-238
PST1-PRIS-9 ( line 4 ),44,17389.83855,41132.04957,88521.78472,9010.449335,44931.97063,41541.34412,3990.661988,0,983.7811013,52082.54859,15.69909781,22.23050297,91.47583871,22.65248507,490.2215498,16.58442173,91.00518552,4.37406739,540.4440814,17.33606492,40.15264742,4.880823035,22.04753123,5.455320075,1.446533641,3.632100613,0.616501105,3.179260477,0.594895312,2.364844018,0.458707098,1.895767751,0.282648365,2.415455885,0.449189716,12.25594422,3.520302426,1.042520879
PST1-PRIS-9 ( line 5 ),45,17350.73262,37657.93973,84954.48277,8704.009911,39143.89091,40930.08595,3719.654923,0,1003.740741,49790.68651,20.73465748,19.35452881,100.2304694,20.6766965,452.2895738,15.86335992,86.57186808,6.123694346,502.8597507,17.37144464,37.38217041,4.198943347,19.76675213,3.333806712,1.033238315,2.971718683,0.436890547,1.71337391,0.376767031,1.530193188,0.366965678,1.895767751,0.376864486,2.012879905,0.179675886,10.56793855,3.461630718,1.08688347
PST2-SGS3a-10 ( line 1 ),46,21893.82146,20182.06084,85890.25952,13716.34046,35386.21465,32246.5004,2343.492111,0,884.6188936,29787.10724,10.07111935,10.48231509,75.19112897,30.18258838,514.9244534,20.04551844,138.0611848,7.237093318,713.7888577,29.83690084,66.58565291,7.5293873,27.62276901,4.424870727,1.515416195,3.962291578,0.524268656,2.094123667,0.892342968,2.782169432,0.366965678,1.895767751,0.094216122,4.2270478,0.26951383,9.115230635,2.640226819,0.731982745
PST2-SGS3a-10 ( line 2 ),47,18657.50586,9526.240688,87307.27711,9882.253749,38683.47548,35001.72381,1786.766169,0,643.9357843,20240.8501,7.405234816,8.661234923,62.3424747,24.35193958,585.3663615,13.26753739,102.4550132,4.668322833,514.8283015,21.69956425,51.35873447,5.408382584,17.48597304,4.546100062,0.826590652,1.650954824,0.728150911,1.903748788,0.446171484,1.530193188,0.183482839,2.274921301,0.235540304,1.811591914,0.359351773,7.887590146,2.464211698,0.487988497
PST2-SGS3a-10 ( line 3 ),48,10794.60722,3290.782447,100630.5285,3127.547074,50099.49042,44635.00526,716.2329565,0,279.3913934,9746.883821,7.405234816,3.442285674,24.5824182,8.417826491,715.3212311,7.571149052,36.30433177,1.566711411,228.5180424,10.31908626,20.89633352,2.332746304,9.883376066,0.606146675,0.413295326,0.66038193,0.145630182,0.761499515,0.099149219,0.83465083,0.04587071,0.568730325,0.094216122,1.207727943,0,3.294168647,1.056090728,0.288356839
PST2-SGS3a-10 ( line 4 ),49,17654.81923,10722.04174,76386.33253,10201.01904,31645.69673,30544.48675,1942.346347,0,706.0929421,22529.73484,8.590072386,8.605714186,54.9403339,22.72847694,504.3885377,15.28651047,101.2332328,4.930766876,551.5892299,23.64544909,53.84231509,5.634479534,23.06121082,5.758393412,1.790946412,6.273628331,0.339803759,2.665248304,0.694044531,1.251976245,0.504577808,1.516614201,0.141324182,3.220607847,0.539027659,7.110084502,2.757570233,0.576713678
PST2-SGS3a-10 ( line 5 ),50,19989.9679,26893.45806,81145.26069,13342.96179,30184.37818,29175.12106,2215.842252,0,952.9660663,30860.09353,11.55216631,9.199786068,85.901387,31.18084519,438.9935073,19.25235045,131.8999208,6.179364295,707.5522493,27.65515118,65.42950331,7.393011363,27.87618891,7.2737601,1.446533641,3.301909648,0.436890547,3.617122698,0.793193749,2.503952489,0.275224259,2.654074851,0.282648365,3.220607847,0.539027659,9.278916034,3.109600476,0.842889221
PST2-SGS3a-11 ( line 1 ),51,24173.45177,18144.73658,90660.099,14526.37427,32949.7305,32937.41162,2534.413822,0,885.6469326,29127.51267,7.405234816,12.15904133,82.94053069,33.3949719,531.1995176,20.6656316,145.042787,6.982602125,760.5156099,29.53027657,69.18913053,7.852382942,37.25272517,4.243026725,1.102120869,3.632100613,0.475725262,5.140121729,0.446171484,1.085046079,0,2.274921301,0.376864486,4.025759809,0.26951383,12.38893861,3.285615597,0.842889221
PST2-SGS3a-11 ( line 2 ),52,20441.67631,14072.98839,86469.16045,11472.71409,33458.76123,31014.68534,1813.53503,0,849.4172682,23437.36444,10.36732874,9.965972235,74.66109913,24.11014727,542.8519991,13.12332502,112.0547163,5.646523358,593.4871261,22.05336149,52.19801344,5.544758522,23.31463072,4.243026725,1.308768532,4.292482542,0.388347153,3.426747819,0.446171484,2.086627074,0.04587071,2.085344526,0.188432243,2.415455885,0.26951383,9.181727828,2.698898526,0.70980145
PST2-SGS3a-11 ( line 3 ),53,18391.2584,5282.296709,81920.07275,7283.256548,33902.01832,32250.71113,1893.730999,0,471.395111,15644.75854,4.739350282,7.328737242,46.78884058,19.72334397,704.1734374,22.9297657,177.5945076,10.25917624,600.7118172,51.24163406,122.2521152,11.59195471,54.48527832,8.334516781,1.446533641,4.952864472,0.582520729,3.997872456,0.718831835,2.503952489,0.275224259,3.033228402,0.376864486,3.421895838,0.179675886,7.902935652,5.691155588,1.020339584
