ID,Uppm,206Pb_204Pb,U/Th,206Pb_207Pb,2sig_%,207Pb_235U,2sig_%,206Pb_238U,2sig_%,error_corr.,206Pb_238U_abs,2sig_abs,207Pb_235U_abs,2sig_abs,206Pb_207Pb,2sig_abs,Best age,2sig_abs,Conc,Type
7MGSC-036 001,1104,105594,1.53,20.643,5.5,0.0289,6.9,0.00433,4.2,0.611,27.8,1.2,28.9,2,119.9,128.5,27.8,1.2,23.2,Det.
7MGSC-036 002,752,6531,1.74,20.016,10.1,0.0319,10.7,0.00463,3.3,0.311,29.8,1,31.9,3.3,192.1,236.1,29.8,1,15.5,Det.
7MGSC-036 003,629,1500,2.34,12.785,32,0.055,32.1,0.0051,3.5,0.11,32.8,1.2,54.4,17,1151.5,638.3,32.8,1.2,2.8,Det.
7MGSC-036 004,786,1500,1.87,24.901,37.8,0.0256,38,0.00463,3.6,0.096,29.8,1.1,25.7,9.6,341.9,980.9,29.8,1.1,8.7,Det.
7MGSC-036 005,346,1500,0.99,25.708,39.6,0.0246,39.8,0.00459,4.5,0.113,29.5,1.3,24.7,9.7,424.8,1046.1,29.5,1.3,6.9,Det.
7MGSC-036 006,513,17464,1.36,20.583,8.1,0.0314,8.8,0.00469,3.5,0.395,30.1,1,31.4,2.7,126.8,191.1,30.1,1,23.7,Det.
7MGSC-036 007,367,1500,0.85,18.063,31.3,0.0409,32.2,0.00537,7.8,0.241,34.5,2.7,40.7,12.9,425.9,701.3,34.5,2.7,8.1,Det.
7MGSC-036 008,525,11935,1.33,21.746,6.5,0.0299,7.7,0.00472,4.1,0.527,30.4,1.2,29.9,2.3,4.2,157.8,30.4,1.2,723.8,Det.
7MGSC-036 009,423,132065,2.01,9.516,2.2,3.8869,4.4,0.26838,3.9,0.871,1532.6,52.9,1611,35.9,1715,40.1,1715,40.1,89.4,Det.
7MGSC-036 011,626,1500,1.13,24.962,38.4,0.0264,38.6,0.00478,3.8,0.098,30.7,1.2,26.5,10.1,348.1,998.4,30.7,1.2,8.8,Det.
7MGSC-036 012,675,18028,1.36,21.778,7.6,0.0299,8.6,0.00473,4,0.467,30.4,1.2,30,2.5,7.8,184,30.4,1.2,389.7,Det.
7MGSC-036 013,119,75006,2.59,12.851,3.2,1.9413,5.1,0.18102,3.9,0.768,1072.5,38.4,1095.5,33.9,1141.3,64.5,1141.3,64.5,94,Det.
7MGSC-036 015,657,9662,0.53,21.986,8.1,0.0305,8.8,0.00487,3.4,0.39,31.3,1.1,30.5,2.6,30.7,196.5,31.3,1.1,102,Det.
7MGSC-036 016,468,114767,1.08,21.351,8.1,0.0303,9.1,0.0047,4.1,0.456,30.2,1.3,30.3,2.7,39.8,193.7,30.2,1.3,75.9,Det.
7MGSC-036 017,474,75628,1,20.752,10.1,0.031,11,0.00468,4.3,0.391,30.1,1.3,31,3.4,107.4,238.4,30.1,1.3,28,Det.
7MGSC-036 018,420,1500,1.27,17.398,27.1,0.0387,27.3,0.00488,3.5,0.126,31.4,1.1,38.5,10.3,509,598.9,31.4,1.1,6.2,Det.
7MGSC-036 019,380,16205,0.98,22.443,8,0.0294,9.1,0.00478,4.4,0.485,30.8,1.4,29.4,2.6,80.9,195.8,30.8,1.4,38.1,Det.
7MGSC-036 020,902,1500,1.26,27.35,41.7,0.0234,41.9,0.00464,4,0.097,29.8,1.2,23.5,9.7,589.8,1140.2,29.8,1.2,5.1,Det.
7MGSC-036 022,394,1500,0.76,5.074,15.6,0.1713,16.2,0.00631,4.3,0.268,40.5,1.8,160.5,24.1,2801.3,256.3,40.5,1.8,1.4,Det.
7MGSC-036 023,656,6351,1.52,21.417,11.2,0.0297,11.8,0.00462,3.6,0.304,29.7,1.1,29.7,3.4,32.4,268.7,29.7,1.1,91.7,Det.
7MGSC-036 024,750,1500,1.5,27.379,42.1,0.0242,42.2,0.00481,3.2,0.077,30.9,1,24.3,10.1,592.8,1151.5,30.9,1,5.2,Det.
7MGSC-036 025,782,9584,1.01,21.443,7.5,0.0297,8.7,0.00462,4.4,0.506,29.7,1.3,29.7,2.6,29.6,180.2,29.7,1.3,100.3,Det.
7MGSC-036 026,409,1500,0.93,25.392,39.2,0.0249,39.6,0.00458,5,0.126,29.5,1.5,24.9,9.7,392.4,1030.1,29.5,1.5,7.5,Det.
7MGSC-036 027,311,1500,1.59,25.068,39.7,0.0254,39.9,0.00462,4.5,0.113,29.7,1.3,25.5,10,359.1,1034.5,29.7,1.3,8.3,Det.
7MGSC-036 028,874,1500,1.35,26.038,40,0.0237,40.2,0.00449,3.7,0.092,28.9,1.1,23.8,9.5,458.3,1065.2,28.9,1.1,6.3,Det.
7MGSC-036 029,454,52728,1.62,19.52,7.5,0.0359,8.4,0.00508,3.7,0.445,32.7,1.2,35.8,3,250.1,173,32.7,1.2,13.1,Det.
7MGSC-036 030,463,1500,1.52,26.215,40.4,0.0252,40.7,0.00479,4.9,0.122,30.8,1.5,25.2,10.1,476.2,1078.7,30.8,1.5,6.5,Det.
7MGSC-036 031,216,32271,0.64,15.869,16.2,0.0427,16.8,0.00492,4.6,0.272,31.6,1.4,42.4,7,707.8,344.9,31.6,1.4,4.5,Det.
7MGSC-036 032,560,19072,1.64,19.351,6.6,0.0334,7.4,0.00468,3.3,0.454,30.1,1,33.3,2.4,270.1,150.4,30.1,1,11.1,Det.
7MGSC-036 033,675,1500,1.24,26.059,39.8,0.0263,40.1,0.00497,4.7,0.116,31.9,1.5,26.3,10.4,460.4,1059.4,31.9,1.5,6.9,Det.
7MGSC-036 034,963,1500,1.68,15.586,24.9,0.0434,25,0.00491,2.7,0.109,31.6,0.9,43.2,10.6,745.9,527.9,31.6,0.9,4.2,Det.
7MGSC-036 035,420,1500,1.58,25.738,39.7,0.0243,40,0.00455,4.3,0.108,29.2,1.3,24.4,9.6,427.8,1050.8,29.2,1.3,6.8,Det.
7MGSC-036 036,965,7281,1,22.477,9.2,0.0283,10.6,0.00462,5.4,0.505,29.7,1.6,28.4,3,84.6,225,29.7,1.6,35.1,Det.
7MGSC-036 037,1289,1500,1.18,15.431,27,0.0406,27.2,0.00454,3.4,0.125,29.2,1,40.4,10.8,767.1,571.3,29.2,1,3.8,Det.
7MGSC-036 038,860,1500,1.76,12.043,21.7,0.0518,21.9,0.00453,2.9,0.134,29.1,0.9,51.3,10.9,1269.3,424.3,29.1,0.9,2.3,Det.
7MGSC-036 039,1054,8778,1.27,14.236,14.2,0.0866,15.2,0.00895,5.3,0.347,57.4,3,84.4,12.3,934.6,292,57.4,3,6.1,Det.
7MGSC-036 040,541,123014,0.93,9.472,2,4.2865,4.5,0.29461,4,0.893,1664.5,59.1,1690.8,37.2,1723.4,37.3,1723.4,37.3,96.6,Det.
