Sample ID,SiO2,Si_err,Al2O3,Al_err,MgO,Mg_err,Na2O,Na_err,F,F_err,CaO,Ca_err,Cl,Cl_err,SO3,S_err,P2O5,P_err,Cr2O3,Cr_err,MnO,Mn_err,FeO,Fe_err,K2O,TiO2,Total,Si(L-value),Al(L-value),Mg(L-value),Na(L-value),Na(L-value),F(L-value),Na(L-value),Ca(L-value),Cl(L-value),S(L-value),P(L-value),Cr(L-value),Mn(L-value),Fe(L-value),Current,,
HHPST_glass 10,57.6373,0.44,16.2098,0.59,3.5743,1.2,3.525,3.6433,0.0374,321.45,7.0634,0.75,0.0483,109.29,0.0813,34.4,0.4189,9.65,0,100,0.183,11.09,7.1433,1.15,1.8244,0.8643,98.6107,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10,,
HHPST_glass 11,56.9967,0.44,16.0462,0.59,3.5884,1.19,3.5018,3.6333,0.0249,552.27,7.0316,0.75,0.0313,33.68,0.0541,51.62,0.414,9.15,0.032,72.8,0.1337,15.28,7.0547,1.16,1.7665,0.869,97.5449,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10.01,,
HHPST_glass 12,58.4759,0.44,16.2494,0.59,3.6323,1.18,3.4737,3.7100,0.0624,194.94,7.1709,0.74,0.0197,76.55,0.1807,100,0.4229,9.11,0.0016,1424.79,0.151,13.53,7.1131,1.15,1.8084,0.8696,99.6316,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10.01,,
HHPST_glass 13,58.9364,0.43,15.9793,0.59,3.4181,1.22,3.5511,3.6200,0,100,7.01,0.75,0.0331,1268.95,0.0654,44.72,0.4543,8.46,0,100,0.1626,12.79,6.8587,1.17,1.7981,0.8551,99.1222,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10.01,,
HHPST_glass 14,58.1677,0.44,16.2925,0.59,3.6249,1.18,3.5324,3.6267,0.1121,110.55,7.178,0.74,0.0266,39.11,0.0988,44.35,0.3128,11.53,0,100,0.1597,12.61,7.1061,1.15,1.7629,0.8896,99.2641,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10.01,,
HHPST_glass 15,57.7616,0.44,16.0853,0.59,3.4907,1.21,3.4899,3.6500,0,100,7.1983,0.74,0.0197,51.63,0.0837,31.13,0.3814,9.59,0.0256,87.94,0.1666,12.17,7.1363,1.15,1.7471,0.9092,98.4954,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10,,
HHPST_glass 16,58.2959,0.44,16.1382,0.59,3.6042,1.19,3.5681,3.5767,0.0998,123.74,7.0771,0.74,0.0398,28.77,0.0502,64.82,0.4236,9.08,0,100,0.1551,13.16,7.0977,1.15,1.7794,0.8537,99.1828,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10,,
HHPST_glass 17,57.1757,0.44,15.9684,0.59,3.4179,1.22,3.4199,3.7000,0,100,6.8561,0.76,0.027,44.29,0.0189,143.37,0.3553,10.63,0,100,0.1647,12.14,7.0176,1.16,1.8953,0.8479,97.1647,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,9.99,,
HHPST_glass 18,56.8958,0.44,15.9928,0.59,3.3988,1.23,3.3014,3.7300,0.0626,161.24,6.9963,0.75,0.0297,37.2,0.0446,63.6,0.4632,8.44,0.0545,44.6,0.1204,17.03,6.8274,1.17,1.838,0.8827,96.9082,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10,,
HHPST_glass 19,56.1399,0.44,15.8711,0.6,3.481,1.21,3.3647,3.7467,0,100,7.2104,0.74,0.0411,23.2,0.0649,48.48,0.3789,9.9,0,100,0.1579,13.33,7.0906,1.15,1.7096,0.8182,96.3283,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10,,
HHPST_glass 20,58.7586,0.43,16.1832,0.59,3.6394,1.18,3.4285,3.7033,0,100,7.2093,0.74,0.0307,41.95,0.06,45.28,0.3481,10.4,0.0016,1445.68,0.1645,12.17,7.3153,1.14,1.7938,0.9287,99.8617,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10.01,,
HHPST_glass 21,59.042,0.43,16.1241,0.59,3.622,1.19,3.477,3.6667,0.0873,140.7,7.1236,0.74,0.0265,42.07,0.0143,226.38,0.4809,8.43,0,100,0.1338,15.21,7.2318,1.14,1.7865,0.9196,100.0694,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10,,
