ID,Uppm,6/4_Pb,U/Th,6/7_Pb,2sig_%,7/35,2sig_%,6/38,2sig_%,error_corr.,6/38_abs,2sig_abs,7/35_abs,2sig_abs,6/7_abs,2sig_abs,Best age,2sig_abs,Conc,Type,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,28.5,,,,,,,,,,,,,,,,
,,,,,31,,,,,,,,,,,,,,,,
